"Date","Location","Population Type","Observations","Gender"
2020-03-31,"Auckland prison","Remand accused prisoners",111,"Male"
2020-03-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2020-03-31,"Auckland prison","Sentenced prisoners",398,"Male"
2020-03-31,"Auckland prison","Onsite population",0,"Male"
2020-03-31,"Auckland prison","Offsite population",0,"Male"
2020-03-31,"Auckland prison","Total population",509,"Male"
2020-03-31,"Auckland prison","Population percentage",5.1,"Male"
2020-06-30,"Auckland prison","Remand accused prisoners",62,"Male"
2020-06-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2020-06-30,"Auckland prison","Sentenced prisoners",427,"Male"
2020-06-30,"Auckland prison","Onsite population",0,"Male"
2020-06-30,"Auckland prison","Offsite population",0,"Male"
2020-06-30,"Auckland prison","Total population",489,"Male"
2020-06-30,"Auckland prison","Population percentage",5.2,"Male"
2020-09-30,"Auckland prison","Remand accused prisoners",27,"Male"
2020-09-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2020-09-30,"Auckland prison","Sentenced prisoners",490,"Male"
2020-09-30,"Auckland prison","Onsite population",0,"Male"
2020-09-30,"Auckland prison","Offsite population",0,"Male"
2020-09-30,"Auckland prison","Total population",517,"Male"
2020-09-30,"Auckland prison","Population percentage",5.7,"Male"
2020-12-31,"Auckland prison","Remand accused prisoners",30,"Male"
2020-12-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2020-12-31,"Auckland prison","Sentenced prisoners",516,"Male"
2020-12-31,"Auckland prison","Onsite population",0,"Male"
2020-12-31,"Auckland prison","Offsite population",0,"Male"
2020-12-31,"Auckland prison","Total population",546,"Male"
2020-12-31,"Auckland prison","Population percentage",6.4,"Male"
2021-03-31,"Auckland prison","Remand accused prisoners",45,"Male"
2021-03-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2021-03-31,"Auckland prison","Sentenced prisoners",531,"Male"
2021-03-31,"Auckland prison","Onsite population",0,"Male"
2021-03-31,"Auckland prison","Offsite population",0,"Male"
2021-03-31,"Auckland prison","Total population",576,"Male"
2021-03-31,"Auckland prison","Population percentage",6.7,"Male"
2021-06-30,"Auckland prison","Remand accused prisoners",24,"Male"
2021-06-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2021-06-30,"Auckland prison","Sentenced prisoners",530,"Male"
2021-06-30,"Auckland prison","Onsite population",0,"Male"
2021-06-30,"Auckland prison","Offsite population",0,"Male"
2021-06-30,"Auckland prison","Total population",554,"Male"
2021-06-30,"Auckland prison","Population percentage",6.6,"Male"
2021-09-30,"Auckland prison","Remand accused prisoners",33,"Male"
2021-09-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2021-09-30,"Auckland prison","Sentenced prisoners",488,"Male"
2021-09-30,"Auckland prison","Onsite population",521,"Male"
2021-09-30,"Auckland prison","Offsite population",11,"Male"
2021-09-30,"Auckland prison","Total population",532,"Male"
2021-09-30,"Auckland prison","Population percentage",6.6,"Male"
2021-12-31,"Auckland prison","Remand accused prisoners",58,"Male"
2021-12-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2021-12-31,"Auckland prison","Sentenced prisoners",489,"Male"
2021-12-31,"Auckland prison","Onsite population",547,"Male"
2021-12-31,"Auckland prison","Offsite population",13,"Male"
2021-12-31,"Auckland prison","Total population",560,"Male"
2021-12-31,"Auckland prison","Population percentage",7.3,"Male"
2022-03-31,"Auckland prison","Remand accused prisoners",63,"Male"
2022-03-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2022-03-31,"Auckland prison","Sentenced prisoners",460,"Male"
2022-03-31,"Auckland prison","Onsite population",523,"Male"
2022-03-31,"Auckland prison","Offsite population",14,"Male"
2022-03-31,"Auckland prison","Total population",537,"Male"
2022-03-31,"Auckland prison","Population percentage",7,"Male"
2022-06-30,"Auckland prison","Remand accused prisoners",97,"Male"
2022-06-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2022-06-30,"Auckland prison","Sentenced prisoners",413,"Male"
2022-06-30,"Auckland prison","Onsite population",510,"Male"
2022-06-30,"Auckland prison","Offsite population",13,"Male"
2022-06-30,"Auckland prison","Total population",523,"Male"
2022-06-30,"Auckland prison","Population percentage",6.8,"Male"
2022-09-30,"Auckland prison","Remand accused prisoners",168,"Male"
2022-09-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2022-09-30,"Auckland prison","Sentenced prisoners",367,"Male"
2022-09-30,"Auckland prison","Onsite population",535,"Male"
2022-09-30,"Auckland prison","Offsite population",10,"Male"
2022-09-30,"Auckland prison","Total population",545,"Male"
2022-09-30,"Auckland prison","Population percentage",6.8,"Male"
2022-12-31,"Auckland prison","Remand accused prisoners",150,"Male"
2022-12-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2022-12-31,"Auckland prison","Sentenced prisoners",378,"Male"
2022-12-31,"Auckland prison","Onsite population",528,"Male"
2022-12-31,"Auckland prison","Offsite population",8,"Male"
2022-12-31,"Auckland prison","Total population",536,"Male"
2022-12-31,"Auckland prison","Population percentage",6.6,"Male"
2023-03-31,"Auckland prison","Remand accused prisoners",160,"Male"
2023-03-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2023-03-31,"Auckland prison","Sentenced prisoners",369,"Male"
2023-03-31,"Auckland prison","Onsite population",529,"Male"
2023-03-31,"Auckland prison","Offsite population",9,"Male"
2023-03-31,"Auckland prison","Total population",538,"Male"
2023-03-31,"Auckland prison","Population percentage",6.4,"Male"
2023-06-30,"Auckland prison","Remand accused prisoners",205,"Male"
2023-06-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2023-06-30,"Auckland prison","Sentenced prisoners",345,"Male"
2023-06-30,"Auckland prison","Onsite population",550,"Male"
2023-06-30,"Auckland prison","Offsite population",9,"Male"
2023-06-30,"Auckland prison","Total population",559,"Male"
2023-06-30,"Auckland prison","Population percentage",6.5,"Male"
2023-09-30,"Auckland prison","Remand accused prisoners",233,"Male"
2023-09-30,"Auckland prison","Remand convicted prisoners",0,"Male"
2023-09-30,"Auckland prison","Sentenced prisoners",348,"Male"
2023-09-30,"Auckland prison","Onsite population",581,"Male"
2023-09-30,"Auckland prison","Offsite population",9,"Male"
2023-09-30,"Auckland prison","Total population",590,"Male"
2023-09-30,"Auckland prison","Population percentage",6.6,"Male"
2023-12-31,"Auckland prison","Remand accused prisoners",151,"Male"
2023-12-31,"Auckland prison","Remand convicted prisoners",0,"Male"
2023-12-31,"Auckland prison","Sentenced prisoners",498,"Male"
2023-12-31,"Auckland prison","Onsite population",649,"Male"
2023-12-31,"Auckland prison","Offsite population",7,"Male"
2023-12-31,"Auckland prison","Total population",656,"Male"
2023-12-31,"Auckland prison","Population percentage",7.2,"Male"
2024-03-31,"Auckland prison","Remand accused prisoners",39,"Male"
2024-03-31,"Auckland prison","Remand convicted prisoners",116,"Male"
2024-03-31,"Auckland prison","Sentenced prisoners",490,"Male"
2024-03-31,"Auckland prison","Onsite population",645,"Male"
2024-03-31,"Auckland prison","Offsite population",11,"Male"
2024-03-31,"Auckland prison","Total population",656,"Male"
2024-03-31,"Auckland prison","Population percentage",6.9,"Male"
2018-03-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2018-03-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2018-03-31,"Auckland South Corrections Facility","Sentenced prisoners",967,"Male"
2018-03-31,"Auckland South Corrections Facility","Onsite population",0,"Male"
2018-03-31,"Auckland South Corrections Facility","Offsite population",0,"Male"
2018-03-31,"Auckland South Corrections Facility","Total population",967,"Male"
2018-03-31,"Auckland South Corrections Facility","Population percentage",9.1,"Male"
2018-06-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2018-06-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2018-06-30,"Auckland South Corrections Facility","Sentenced prisoners",942,"Male"
2018-06-30,"Auckland South Corrections Facility","Onsite population",0,"Male"
2018-06-30,"Auckland South Corrections Facility","Offsite population",0,"Male"
2018-06-30,"Auckland South Corrections Facility","Total population",942,"Male"
2018-06-30,"Auckland South Corrections Facility","Population percentage",9,"Male"
2018-09-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2018-09-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2018-09-30,"Auckland South Corrections Facility","Sentenced prisoners",956,"Male"
2018-09-30,"Auckland South Corrections Facility","Onsite population",0,"Male"
2018-09-30,"Auckland South Corrections Facility","Offsite population",0,"Male"
2018-09-30,"Auckland South Corrections Facility","Total population",956,"Male"
2018-09-30,"Auckland South Corrections Facility","Population percentage",9.5,"Male"
2018-12-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2018-12-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2018-12-31,"Auckland South Corrections Facility","Sentenced prisoners",946,"Male"
2018-12-31,"Auckland South Corrections Facility","Onsite population",0,"Male"
2018-12-31,"Auckland South Corrections Facility","Offsite population",0,"Male"
2018-12-31,"Auckland South Corrections Facility","Total population",946,"Male"
2018-12-31,"Auckland South Corrections Facility","Population percentage",9.7,"Male"
2019-03-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2019-03-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2019-03-31,"Auckland South Corrections Facility","Sentenced prisoners",920,"Male"
2019-03-31,"Auckland South Corrections Facility","Onsite population",0,"Male"
2019-03-31,"Auckland South Corrections Facility","Offsite population",0,"Male"
2019-03-31,"Auckland South Corrections Facility","Total population",920,"Male"
2019-03-31,"Auckland South Corrections Facility","Population percentage",9.2,"Male"
2019-06-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2019-06-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2019-06-30,"Auckland South Corrections Facility","Sentenced prisoners",947,"Male"
2019-06-30,"Auckland South Corrections Facility","Onsite population",0,"Male"
2019-06-30,"Auckland South Corrections Facility","Offsite population",0,"Male"
2019-06-30,"Auckland South Corrections Facility","Total population",947,"Male"
2019-06-30,"Auckland South Corrections Facility","Population percentage",9.5,"Male"
2019-09-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2019-09-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2019-09-30,"Auckland South Corrections Facility","Sentenced prisoners",931,"Male"
2019-09-30,"Auckland South Corrections Facility","Onsite population",0,"Male"
2019-09-30,"Auckland South Corrections Facility","Offsite population",0,"Male"
2019-09-30,"Auckland South Corrections Facility","Total population",931,"Male"
2019-09-30,"Auckland South Corrections Facility","Population percentage",9.3,"Male"
2019-12-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2019-12-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2019-12-31,"Auckland South Corrections Facility","Sentenced prisoners",913,"Male"
2019-12-31,"Auckland South Corrections Facility","Onsite population",0,"Male"
2019-12-31,"Auckland South Corrections Facility","Offsite population",0,"Male"
2019-12-31,"Auckland South Corrections Facility","Total population",913,"Male"
2019-12-31,"Auckland South Corrections Facility","Population percentage",9.3,"Male"
2020-03-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2020-03-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2020-03-31,"Auckland South Corrections Facility","Sentenced prisoners",944,"Male"
2020-03-31,"Auckland South Corrections Facility","Onsite population",0,"Male"
2020-03-31,"Auckland South Corrections Facility","Offsite population",0,"Male"
2020-03-31,"Auckland South Corrections Facility","Total population",944,"Male"
2020-03-31,"Auckland South Corrections Facility","Population percentage",9.5,"Male"
2020-06-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2020-06-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2020-06-30,"Auckland South Corrections Facility","Sentenced prisoners",904,"Male"
2020-06-30,"Auckland South Corrections Facility","Onsite population",0,"Male"
2020-06-30,"Auckland South Corrections Facility","Offsite population",0,"Male"
2020-06-30,"Auckland South Corrections Facility","Total population",904,"Male"
2020-06-30,"Auckland South Corrections Facility","Population percentage",9.5,"Male"
2020-09-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2020-09-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2020-09-30,"Auckland South Corrections Facility","Sentenced prisoners",874,"Male"
2020-09-30,"Auckland South Corrections Facility","Onsite population",0,"Male"
2020-09-30,"Auckland South Corrections Facility","Offsite population",0,"Male"
2020-09-30,"Auckland South Corrections Facility","Total population",874,"Male"
2020-09-30,"Auckland South Corrections Facility","Population percentage",9.6,"Male"
2020-12-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2020-12-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2020-12-31,"Auckland South Corrections Facility","Sentenced prisoners",873,"Male"
2020-12-31,"Auckland South Corrections Facility","Onsite population",0,"Male"
2020-12-31,"Auckland South Corrections Facility","Offsite population",0,"Male"
2020-12-31,"Auckland South Corrections Facility","Total population",873,"Male"
2020-12-31,"Auckland South Corrections Facility","Population percentage",10.2,"Male"
2021-03-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2021-03-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2021-03-31,"Auckland South Corrections Facility","Sentenced prisoners",863,"Male"
2021-03-31,"Auckland South Corrections Facility","Onsite population",0,"Male"
2021-03-31,"Auckland South Corrections Facility","Offsite population",0,"Male"
2021-03-31,"Auckland South Corrections Facility","Total population",863,"Male"
2021-03-31,"Auckland South Corrections Facility","Population percentage",10,"Male"
2021-06-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2021-06-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2021-06-30,"Auckland South Corrections Facility","Sentenced prisoners",827,"Male"
2021-06-30,"Auckland South Corrections Facility","Onsite population",0,"Male"
2021-06-30,"Auckland South Corrections Facility","Offsite population",0,"Male"
2021-06-30,"Auckland South Corrections Facility","Total population",827,"Male"
2021-06-30,"Auckland South Corrections Facility","Population percentage",9.9,"Male"
2021-09-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2021-09-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2021-09-30,"Auckland South Corrections Facility","Sentenced prisoners",805,"Male"
2021-09-30,"Auckland South Corrections Facility","Onsite population",805,"Male"
2021-09-30,"Auckland South Corrections Facility","Offsite population",2,"Male"
2021-09-30,"Auckland South Corrections Facility","Total population",807,"Male"
2021-09-30,"Auckland South Corrections Facility","Population percentage",10,"Male"
2021-12-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2021-12-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2021-12-31,"Auckland South Corrections Facility","Sentenced prisoners",797,"Male"
2021-12-31,"Auckland South Corrections Facility","Onsite population",797,"Male"
2021-12-31,"Auckland South Corrections Facility","Offsite population",1,"Male"
2021-12-31,"Auckland South Corrections Facility","Total population",798,"Male"
2021-12-31,"Auckland South Corrections Facility","Population percentage",10.4,"Male"
2022-03-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2022-03-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2022-03-31,"Auckland South Corrections Facility","Sentenced prisoners",708,"Male"
2022-03-31,"Auckland South Corrections Facility","Onsite population",708,"Male"
2022-03-31,"Auckland South Corrections Facility","Offsite population",1,"Male"
2022-03-31,"Auckland South Corrections Facility","Total population",709,"Male"
2022-03-31,"Auckland South Corrections Facility","Population percentage",9.2,"Male"
2022-06-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2022-06-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2022-06-30,"Auckland South Corrections Facility","Sentenced prisoners",771,"Male"
2022-06-30,"Auckland South Corrections Facility","Onsite population",771,"Male"
2022-06-30,"Auckland South Corrections Facility","Offsite population",1,"Male"
2022-06-30,"Auckland South Corrections Facility","Total population",772,"Male"
2022-06-30,"Auckland South Corrections Facility","Population percentage",10,"Male"
2022-09-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2022-09-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2022-09-30,"Auckland South Corrections Facility","Sentenced prisoners",857,"Male"
2022-09-30,"Auckland South Corrections Facility","Onsite population",857,"Male"
2022-09-30,"Auckland South Corrections Facility","Offsite population",3,"Male"
2022-09-30,"Auckland South Corrections Facility","Total population",860,"Male"
2022-09-30,"Auckland South Corrections Facility","Population percentage",10.8,"Male"
2022-12-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2022-12-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2022-12-31,"Auckland South Corrections Facility","Sentenced prisoners",894,"Male"
2022-12-31,"Auckland South Corrections Facility","Onsite population",894,"Male"
2022-12-31,"Auckland South Corrections Facility","Offsite population",3,"Male"
2022-12-31,"Auckland South Corrections Facility","Total population",897,"Male"
2022-12-31,"Auckland South Corrections Facility","Population percentage",11,"Male"
2023-03-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2023-03-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2023-03-31,"Auckland South Corrections Facility","Sentenced prisoners",951,"Male"
2023-03-31,"Auckland South Corrections Facility","Onsite population",951,"Male"
2023-03-31,"Auckland South Corrections Facility","Offsite population",3,"Male"
2023-03-31,"Auckland South Corrections Facility","Total population",954,"Male"
2023-03-31,"Auckland South Corrections Facility","Population percentage",11.4,"Male"
2023-06-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2023-06-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2023-06-30,"Auckland South Corrections Facility","Sentenced prisoners",946,"Male"
2023-06-30,"Auckland South Corrections Facility","Onsite population",946,"Male"
2023-06-30,"Auckland South Corrections Facility","Offsite population",5,"Male"
2023-06-30,"Auckland South Corrections Facility","Total population",951,"Male"
2023-06-30,"Auckland South Corrections Facility","Population percentage",11,"Male"
2023-09-30,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2023-09-30,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2023-09-30,"Auckland South Corrections Facility","Sentenced prisoners",954,"Male"
2023-09-30,"Auckland South Corrections Facility","Onsite population",954,"Male"
2023-09-30,"Auckland South Corrections Facility","Offsite population",5,"Male"
2023-09-30,"Auckland South Corrections Facility","Total population",959,"Male"
2023-09-30,"Auckland South Corrections Facility","Population percentage",10.8,"Male"
2023-12-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2023-12-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2023-12-31,"Auckland South Corrections Facility","Sentenced prisoners",973,"Male"
2023-12-31,"Auckland South Corrections Facility","Onsite population",973,"Male"
2023-12-31,"Auckland South Corrections Facility","Offsite population",4,"Male"
2023-12-31,"Auckland South Corrections Facility","Total population",977,"Male"
2023-12-31,"Auckland South Corrections Facility","Population percentage",10.7,"Male"
2024-03-31,"Auckland South Corrections Facility","Remand accused prisoners",0,"Male"
2024-03-31,"Auckland South Corrections Facility","Remand convicted prisoners",0,"Male"
2024-03-31,"Auckland South Corrections Facility","Sentenced prisoners",956,"Male"
2024-03-31,"Auckland South Corrections Facility","Onsite population",956,"Male"
2024-03-31,"Auckland South Corrections Facility","Offsite population",4,"Male"
2024-03-31,"Auckland South Corrections Facility","Total population",960,"Male"
2024-03-31,"Auckland South Corrections Facility","Population percentage",10.1,"Male"
2018-03-31,"Christchurch Men's Prison","Remand accused prisoners",319,"Male"
2018-03-31,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2018-03-31,"Christchurch Men's Prison","Sentenced prisoners",608,"Male"
2018-03-31,"Christchurch Men's Prison","Onsite population",0,"Male"
2018-03-31,"Christchurch Men's Prison","Offsite population",0,"Male"
2018-03-31,"Christchurch Men's Prison","Total population",927,"Male"
2018-03-31,"Christchurch Men's Prison","Population percentage",8.7,"Male"
2018-06-30,"Christchurch Men's Prison","Remand accused prisoners",342,"Male"
2018-06-30,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2018-06-30,"Christchurch Men's Prison","Sentenced prisoners",583,"Male"
2018-06-30,"Christchurch Men's Prison","Onsite population",0,"Male"
2018-06-30,"Christchurch Men's Prison","Offsite population",0,"Male"
2018-06-30,"Christchurch Men's Prison","Total population",925,"Male"
2018-06-30,"Christchurch Men's Prison","Population percentage",8.9,"Male"
2018-09-30,"Christchurch Men's Prison","Remand accused prisoners",309,"Male"
2018-09-30,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2018-09-30,"Christchurch Men's Prison","Sentenced prisoners",586,"Male"
2018-09-30,"Christchurch Men's Prison","Onsite population",0,"Male"
2018-09-30,"Christchurch Men's Prison","Offsite population",0,"Male"
2018-09-30,"Christchurch Men's Prison","Total population",895,"Male"
2018-09-30,"Christchurch Men's Prison","Population percentage",8.9,"Male"
2018-12-31,"Christchurch Men's Prison","Remand accused prisoners",332,"Male"
2018-12-31,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2018-12-31,"Christchurch Men's Prison","Sentenced prisoners",515,"Male"
2018-12-31,"Christchurch Men's Prison","Onsite population",0,"Male"
2018-12-31,"Christchurch Men's Prison","Offsite population",0,"Male"
2018-12-31,"Christchurch Men's Prison","Total population",847,"Male"
2018-12-31,"Christchurch Men's Prison","Population percentage",8.7,"Male"
2019-03-31,"Christchurch Men's Prison","Remand accused prisoners",410,"Male"
2019-03-31,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2019-03-31,"Christchurch Men's Prison","Sentenced prisoners",514,"Male"
2019-03-31,"Christchurch Men's Prison","Onsite population",0,"Male"
2019-03-31,"Christchurch Men's Prison","Offsite population",0,"Male"
2019-03-31,"Christchurch Men's Prison","Total population",924,"Male"
2019-03-31,"Christchurch Men's Prison","Population percentage",9.2,"Male"
2019-06-30,"Christchurch Men's Prison","Remand accused prisoners",385,"Male"
2019-06-30,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2019-06-30,"Christchurch Men's Prison","Sentenced prisoners",530,"Male"
2019-06-30,"Christchurch Men's Prison","Onsite population",0,"Male"
2019-06-30,"Christchurch Men's Prison","Offsite population",0,"Male"
2019-06-30,"Christchurch Men's Prison","Total population",915,"Male"
2019-06-30,"Christchurch Men's Prison","Population percentage",9.2,"Male"
2019-09-30,"Christchurch Men's Prison","Remand accused prisoners",418,"Male"
2019-09-30,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2019-09-30,"Christchurch Men's Prison","Sentenced prisoners",519,"Male"
2019-09-30,"Christchurch Men's Prison","Onsite population",0,"Male"
2019-09-30,"Christchurch Men's Prison","Offsite population",0,"Male"
2019-09-30,"Christchurch Men's Prison","Total population",937,"Male"
2019-09-30,"Christchurch Men's Prison","Population percentage",9.3,"Male"
2019-12-31,"Christchurch Men's Prison","Remand accused prisoners",412,"Male"
2019-12-31,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2019-12-31,"Christchurch Men's Prison","Sentenced prisoners",497,"Male"
2019-12-31,"Christchurch Men's Prison","Onsite population",0,"Male"
2019-12-31,"Christchurch Men's Prison","Offsite population",0,"Male"
2019-12-31,"Christchurch Men's Prison","Total population",909,"Male"
2019-12-31,"Christchurch Men's Prison","Population percentage",9.2,"Male"
2020-03-31,"Christchurch Men's Prison","Remand accused prisoners",405,"Male"
2020-03-31,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2020-03-31,"Christchurch Men's Prison","Sentenced prisoners",499,"Male"
2020-03-31,"Christchurch Men's Prison","Onsite population",0,"Male"
2020-03-31,"Christchurch Men's Prison","Offsite population",0,"Male"
2020-03-31,"Christchurch Men's Prison","Total population",904,"Male"
2020-03-31,"Christchurch Men's Prison","Population percentage",9.1,"Male"
2020-06-30,"Christchurch Men's Prison","Remand accused prisoners",354,"Male"
2020-06-30,"Christchurch Men's Prison","Remand convicted prisoners",0,"Male"
2020-06-30,"Christchurch Men's Prison","Sentenced prisoners",504,"Male"
2020-06-30,"Christchurch Men's Prison","Onsite population",0,"Male"
2020-06-30,"Christchurch Men's Prison","Offsite population",0,"Male"
2020-06-30,"Christchurch Men's Prison","Total population",858,"Male"
2020-06-30,"Christchurch Men's Prison","Population percentage",9.1,"Male"
